id_ticket,id_producto,cantidad,precio_unitario
TICKET_000001,PROD_030,1,4500
TICKET_000002,PROD_006,1,2500
TICKET_000003,PROD_033,1,1500
TICKET_000003,PROD_021,1,3500
TICKET_000004,PROD_019,1,3200
TICKET_000005,PROD_001,1,2500
TICKET_000005,PROD_015,1,2800
TICKET_000006,PROD_031,1,4500
TICKET_000006,PROD_003,1,4500
TICKET_000007,PROD_023,1,3500
TICKET_000008,PROD_017,1,2800
TICKET_000008,PROD_004,1,4800
TICKET_000009,PROD_006,1,2500
TICKET_000010,PROD_015,1,2800
TICKET_000011,PROD_021,1,3500
TICKET_000011,PROD_010,1,3500
TICKET_000012,PROD_012,1,3000
TICKET_000012,PROD_024,1,3000
TICKET_000013,PROD_010,1,3500
TICKET_000013,PROD_016,1,2500
TICKET_000013,PROD_014,1,3800
TICKET_000014,PROD_021,1,3500
TICKET_000014,PROD_009,1,5000
TICKET_000014,PROD_013,1,3500
TICKET_000015,PROD_003,1,4500
TICKET_000015,PROD_023,1,3500
TICKET_000016,PROD_001,2,2500
TICKET_000016,PROD_009,1,5000
TICKET_000016,PROD_004,1,4800
TICKET_000017,PROD_031,1,4500
TICKET_000017,PROD_003,1,4500
TICKET_000017,PROD_012,1,3000
TICKET_000018,PROD_006,1,2500
TICKET_000019,PROD_012,1,3000
TICKET_000019,PROD_003,1,4500
TICKET_000020,PROD_006,1,2500
TICKET_000020,PROD_028,1,2000
TICKET_000020,PROD_025,1,3500
TICKET_000021,PROD_001,1,2500
TICKET_000021,PROD_015,1,2800
TICKET_000022,PROD_010,1,3500
TICKET_000022,PROD_016,1,2500
TICKET_000022,PROD_032,1,2500
TICKET_000022,PROD_028,1,2000
TICKET_000023,PROD_012,1,3000
TICKET_000024,PROD_021,1,3500
TICKET_000024,PROD_009,1,5000
TICKET_000024,PROD_006,1,2500
TICKET_000024,PROD_001,1,2500
TICKET_000025,PROD_020,1,3200
TICKET_000026,PROD_021,1,3500
TICKET_000027,PROD_019,1,3200
TICKET_000027,PROD_012,1,3000
TICKET_000028,PROD_034,1,6500
TICKET_000028,PROD_012,1,3000
TICKET_000029,PROD_021,1,3500
TICKET_000030,PROD_021,1,3500
TICKET_000030,PROD_003,1,4500
TICKET_000031,PROD_012,1,3000
TICKET_000031,PROD_025,1,3500
TICKET_000032,PROD_031,1,4500
TICKET_000032,PROD_034,1,6500
TICKET_000033,PROD_010,1,3500
TICKET_000033,PROD_016,1,2500
TICKET_000034,PROD_021,1,3500
TICKET_000034,PROD_009,1,5000
TICKET_000035,PROD_001,1,2500
TICKET_000035,PROD_015,1,2800
TICKET_000036,PROD_002,1,3500
TICKET_000036,PROD_017,1,2800
TICKET_000036,PROD_004,1,4800
TICKET_000037,PROD_001,1,2500
TICKET_000037,PROD_015,1,2800
TICKET_000038,PROD_001,1,2500
TICKET_000039,PROD_019,1,3200
TICKET_000039,PROD_012,1,3000
TICKET_000039,PROD_024,1,3000
TICKET_000040,PROD_010,1,3500
TICKET_000040,PROD_016,1,2500
TICKET_000041,PROD_016,1,2500
TICKET_000042,PROD_019,1,3200
TICKET_000042,PROD_012,1,3000
TICKET_000042,PROD_023,1,3500
TICKET_000043,PROD_002,1,3500
