id_ticket,fecha,id_tienda,id_cliente
TICKET_000001,2024-08-29,TOSTAO_15,CUST_01364
TICKET_000002,2024-02-04,TOSTAO_18,CUST_01956
TICKET_000003,2024-02-23,TOSTAO_18,CUST_01501
TICKET_000004,2024-10-30,TOSTAO_08,CUST_01276
TICKET_000005,2024-10-06,TOSTAO_13,CUST_00764
TICKET_000006,2024-05-08,TOSTAO_11,CUST_01496
TICKET_000007,2024-08-18,TOSTAO_09,CUST_02183
TICKET_000008,2024-03-02,TOSTAO_12,CUST_02147
TICKET_000009,2024-05-10,TOSTAO_14,CUST_00503
TICKET_000010,2024-06-27,TOSTAO_04,CUST_00564
TICKET_000011,2024-06-19,TOSTAO_07,CUST_01184
TICKET_000012,2024-05-13,TOSTAO_12,CUST_01644
TICKET_000013,2024-07-08,TOSTAO_20,CUST_01401
TICKET_000014,2024-06-13,TOSTAO_12,CUST_01258
TICKET_000015,2024-11-13,TOSTAO_12,CUST_00564
TICKET_000016,2024-03-21,TOSTAO_02,CUST_00002
TICKET_000017,2024-06-20,TOSTAO_04,CUST_01734
TICKET_000018,2024-04-07,TOSTAO_16,CUST_01931
TICKET_000019,2024-12-14,TOSTAO_19,CUST_01956
TICKET_000020,2024-05-07,TOSTAO_11,CUST_00641
TICKET_000021,2024-09-19,TOSTAO_16,CUST_02394
TICKET_000022,2024-05-19,TOSTAO_09,CUST_01184
TICKET_000023,2024-04-25,TOSTAO_06,CUST_01444
TICKET_000024,2024-04-08,TOSTAO_14,CUST_01920
TICKET_000025,2024-10-03,TOSTAO_08,CUST_01528
TICKET_000026,2024-01-22,TOSTAO_06,CUST_02086
TICKET_000027,2024-10-03,TOSTAO_15,CUST_02332
TICKET_000028,2024-01-04,TOSTAO_12,CUST_00017
TICKET_000029,2024-08-20,TOSTAO_03,CUST_00302
TICKET_000030,2024-06-09,TOSTAO_18,CUST_00128
TICKET_000031,2024-10-14,TOSTAO_02,CUST_01687
TICKET_000032,2024-10-25,TOSTAO_10,CUST_01501
TICKET_000033,2024-11-08,TOSTAO_01,CUST_00020
TICKET_000034,2024-11-17,TOSTAO_19,CUST_01983
TICKET_000035,2024-06-28,TOSTAO_11,CUST_01078
TICKET_000036,2024-04-17,TOSTAO_06,CUST_01220
TICKET_000037,2024-05-23,TOSTAO_10,CUST_00636
TICKET_000038,2024-02-27,TOSTAO_09,CUST_00741
TICKET_000039,2024-08-26,TOSTAO_16,CUST_01142
TICKET_000040,2024-03-09,TOSTAO_03,CUST_02295
TICKET_000041,2024-08-07,TOSTAO_14,CUST_01009
TICKET_000042,2024-08-05,TOSTAO_07,CUST_02389
TICKET_000043,2024-10-16,TOSTAO_01,CUST_02490
TICKET_000044,2024-06-08,TOSTAO_12,CUST_01688
TICKET_000045,2024-11-18,TOSTAO_10,CUST_01192
TICKET_000046,2024-03-30,TOSTAO_02,CUST_01626
TICKET_000047,2024-08-04,TOSTAO_10,CUST_00676
TICKET_000048,2024-04-05,TOSTAO_12,CUST_00037
TICKET_000049,2024-09-29,TOSTAO_16,CUST_00596
TICKET_000050,2024-08-20,TOSTAO_07,CUST_00265
TICKET_000051,2024-05-23,TOSTAO_20,CUST_00396
TICKET_000052,2024-02-26,TOSTAO_07,CUST_01066
TICKET_000053,2024-08-02,TOSTAO_12,CUST_00751
TICKET_000054,2024-06-22,TOSTAO_09,CUST_02218
TICKET_000055,2024-06-13,TOSTAO_13,CUST_01520
TICKET_000056,2024-09-08,TOSTAO_12,CUST_02493
TICKET_000057,2024-06-21,TOSTAO_20,CUST_01244
TICKET_000058,2024-07-09,TOSTAO_01,CUST_00824
TICKET_000059,2024-03-20,TOSTAO_05,CUST_00203
TICKET_000060,2024-01-14,TOSTAO_03,CUST_01397
TICKET_000061,2024-11-25,TOSTAO_06,CUST_00968
TICKET_000062,2024-03-30,TOSTAO_05,CUST_00540
TICKET_000063,2024-07-30,TOSTAO_13,CUST_00925
TICKET_000064,2024-10-29,TOSTAO_18,CUST_00010
TICKET_000065,2024-03-05,TOSTAO_17,CUST_01263
TICKET_000066,2024-04-07,TOSTAO_01,CUST_00511
TICKET_000067,2024-01-23,TOSTAO_10,CUST_00714
TICKET_000068,2024-02-20,TOSTAO_01,CUST_01470
TICKET_000069,2024-03-12,TOSTAO_02,CUST_00250
TICKET_000070,2024-08-09,TOSTAO_16,CUST_02449
TICKET_000071,2024-04-12,TOSTAO_02,CUST_00764
TICKET_000072,2024-11-03,TOSTAO_10,CUST_01359
TICKET_000073,2024-11-25,TOSTAO_05,CUST_01876
TICKET_000074,2024-05-05,TOSTAO_15,CUST_01907
TICKET_000075,2024-01-08,TOSTAO_03,CUST_01720
TICKET_000076,2024-03-01,TOSTAO_18,CUST_01029
TICKET_000077,2024-08-20,TOSTAO_14,CUST_01969
TICKET_000078,2024-08-01,TOSTAO_11,CUST_02398
TICKET_000079,2024-10-18,TOSTAO_03,CUST_00625
TICKET_000080,2024-08-03,TOSTAO_19,CUST_00526
TICKET_000081,2024-09-30,TOSTAO_15,CUST_01907
TICKET_000082,2024-09-29,TOSTAO_12,CUST_00126
TICKET_000083,2024-08-20,TOSTAO_04,CUST_02159
TICKET_000084,2024-02-11,TOSTAO_20,CUST_01542
TICKET_000085,2024-12-30,TOSTAO_06,CUST_01313
TICKET_000086,2024-12-15,TOSTAO_03,CUST_01161
TICKET_000087,2024-03-15,TOSTAO_17,CUST_00646
TICKET_000088,2024-06-21,TOSTAO_04,CUST_02374
TICKET_000089,2024-05-21,TOSTAO_11,CUST_01829
TICKET_000090,2024-06-09,TOSTAO_10,CUST_02040
TICKET_000091,2024-05-09,TOSTAO_05,CUST_01343
TICKET_000092,2024-04-03,TOSTAO_12,CUST_01605
TICKET_000093,2024-10-22,TOSTAO_08,CUST_01856
TICKET_000094,2024-10-17,TOSTAO_19,CUST_02053
TICKET_000095,2024-08-24,TOSTAO_08,CUST_02450
TICKET_000096,2024-12-18,TOSTAO_01,CUST_02191
TICKET_000097,2024-04-13,TOSTAO_06,CUST_01971
TICKET_000098,2024-01-15,TOSTAO_20,CUST_01313
TICKET_000099,2024-04-06,TOSTAO_01,CUST_00951
TICKET_000100,2024-11-25,TOSTAO_15,CUST_01933
TICKET_000101,2024-06-05,TOSTAO_04,CUST_02095
TICKET_000102,2024-08-30,TOSTAO_11,CUST_00794
TICKET_000103,2024-10-29,TOSTAO_12,CUST_00363
TICKET_000104,2024-04-20,TOSTAO_16,CUST_00356
